event_id,raw_row_id,ts_recv,ts_event,sequence,action,side,price,size,F_LAST,F_SNAPSHOT,F_MAYBE_BAD_BOOK,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,canonical_event_id,signed_trade_volume,trade_size,n_records,actions,bid_price_1,ask_price_1,bid_size_1,ask_size_1
75,10207,2026-08-05 13:30:00.125317409+00:00,2026-08-05 13:30:00.125144104+00:00,49719765,A,B,99.17,49,True,False,False,99.28,99.65,50,110,75,0.0,,1,A,99.28,99.65,50,110
76,10208,2026-08-05 13:30:00.125338564+00:00,2026-08-05 13:30:00.125164303+00:00,49719801,A,A,99.59,50,True,False,False,99.28,99.59,50,100,76,0.0,,1,A,99.28,99.59,50,100
77,10209,2026-08-05 13:30:00.125517746+00:00,2026-08-05 13:30:00.125348877+00:00,49720091,A,A,99.53,50,True,False,False,99.28,99.53,50,50,77,0.0,,1,A,99.28,99.53,50,50
78,10210,2026-08-05 13:30:00.126084925+00:00,2026-08-05 13:30:00.125912070+00:00,49721101,C,B,99.27,40,True,False,False,99.28,99.53,50,50,78,0.0,,1,C,99.28,99.53,50,50
79,10211,2026-08-05 13:30:00.126106428+00:00,2026-08-05 13:30:00.125933114+00:00,49721130,C,A,99.59,50,True,False,False,99.28,99.53,50,50,79,0.0,,1,C,99.28,99.53,50,50
80,10212,2026-08-05 13:30:00.126121775+00:00,2026-08-05 13:30:00.125951210+00:00,49721156,A,A,99.47,50,True,False,False,99.28,99.47,50,50,80,0.0,,1,A,99.28,99.47,50,50
81,10213,2026-08-05 13:30:00.126351454+00:00,2026-08-05 13:30:00.126180371+00:00,49721523,C,A,99.53,50,True,False,False,99.28,99.47,50,50,81,0.0,,1,C,99.28,99.47,50,50
82,10214,2026-08-05 13:30:00.126362153+00:00,2026-08-05 13:30:00.126191708+00:00,49721531,A,A,99.41,50,True,False,False,99.28,99.41,50,50,82,0.0,,1,A,99.28,99.41,50,50
83,10215,2026-08-05 13:30:00.126430262+00:00,2026-08-05 13:30:00.126256685+00:00,49721609,C,A,99.47,50,True,False,False,99.28,99.41,50,50,83,0.0,,1,C,99.28,99.41,50,50
84,10216,2026-08-05 13:30:00.126723534+00:00,2026-08-05 13:30:00.126549975+00:00,49721990,T,N,99.35,40,True,False,False,99.28,99.41,50,50,84,0.0,40.0,1,T,99.28,99.41,50,50
85,10217,2026-08-05 13:30:00.126853854+00:00,2026-08-05 13:30:00.126682116+00:00,49722220,A,B,99.3,47,True,False,False,99.31,99.41,24,50,85,0.0,,1,A,99.31,99.41,24,50
86,10218,2026-08-05 13:30:00.126867268+00:00,2026-08-05 13:30:00.126697206+00:00,49722245,C,B,99.3,48,True,False,False,99.31,99.41,24,50,86,0.0,,1,C,99.31,99.41,24,50
87,10219,2026-08-05 13:30:00.126912685+00:00,2026-08-05 13:30:00.126741604+00:00,49722300,C,B,99.27,50,True,False,False,99.31,99.41,24,50,87,0.0,,1,C,99.31,99.41,24,50
88,10220,2026-08-05 13:30:00.126914590+00:00,2026-08-05 13:30:00.126743520+00:00,49722302,A,B,99.31,50,True,False,False,99.31,99.41,74,50,88,0.0,,1,A,99.31,99.41,74,50
89,10221,2026-08-05 13:30:00.129073615+00:00,2026-08-05 13:30:00.128904294+00:00,49723590,A,B,99.28,2,True,False,False,99.31,99.41,74,50,89,0.0,,1,A,99.31,99.41,74,50
90,10222,2026-08-05 13:30:00.129084699+00:00,2026-08-05 13:30:00.128917827+00:00,49723594,A,B,99.28,2,True,False,False,99.31,99.41,74,50,90,0.0,,1,A,99.31,99.41,74,50
91,10223,2026-08-05 13:30:00.132382151+00:00,2026-08-05 13:30:00.132215120+00:00,49724454,A,B,99.37,480,True,False,False,99.37,99.41,480,50,91,0.0,,1,A,99.37,99.41,480,50
92,10224,2026-08-05 13:30:00.132404988+00:00,2026-08-05 13:30:00.132238242+00:00,49724457,C,B,99.31,50,True,False,False,99.37,99.41,480,50,92,0.0,,1,C,99.37,99.41,480,50
93,10225,2026-08-05 13:30:00.132408641+00:00,2026-08-05 13:30:00.132240472+00:00,49724458,A,B,99.37,50,True,False,False,99.37,99.41,530,50,93,0.0,,1,A,99.37,99.41,530,50
94,10226,2026-08-05 13:30:00.134099348+00:00,2026-08-05 13:30:00.133923814+00:00,49726558,C,B,99.28,2,True,False,False,99.37,99.41,530,50,94,0.0,,1,C,99.37,99.41,530,50
95,10227,2026-08-05 13:30:00.134139972+00:00,2026-08-05 13:30:00.133962147+00:00,49726636,C,B,99.28,2,True,False,False,99.37,99.41,530,50,95,0.0,,1,C,99.37,99.41,530,50
96,10228,2026-08-05 13:30:00.134913442+00:00,2026-08-05 13:30:00.134742185+00:00,49727413,A,B,99.31,4,True,False,False,99.37,99.41,530,50,96,0.0,,1,A,99.37,99.41,530,50
97,10229,2026-08-05 13:30:00.135190202+00:00,2026-08-05 13:30:00.135017032+00:00,49727816,A,B,99.33,4,True,False,False,99.37,99.41,530,50,97,0.0,,1,A,99.37,99.41,530,50
98,10230,2026-08-05 13:30:00.135227067+00:00,2026-08-05 13:30:00.135050354+00:00,49727884,C,B,99.31,4,True,False,False,99.37,99.41,530,50,98,0.0,,1,C,99.37,99.41,530,50
99,10231,2026-08-05 13:30:00.136865534+00:00,2026-08-05 13:30:00.136693796+00:00,49730296,C,B,99.31,24,True,False,False,99.37,99.41,530,50,99,0.0,,1,C,99.37,99.41,530,50
