fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover,beta_1,beta_1_t,beta_1_name
1,M2_ofi_spread_depth,ms1000,2026-07-30,0.0004907256018301664,0.027612802021364128,-0.0002695228620730461,0.0028877561236607813,0.5036532845471177,18.870307544804188,108472,,,,,,,,,,,0.0003416419771525534,8.721196616393136,OFI1_ev50
1,M3_ofi_signedvol,ms1000,2026-07-30,0.00021448506622512298,0.027616617517856764,-0.00014044979451122153,0.0043693352996904185,0.49708532663659194,18.870307544804188,108472,,,,,,,,,,,0.00026097639115504494,6.013634464942912,OFI1_ev50
1,M4_ofi_intensity,ms1000,2026-07-30,0.00020123705740027198,0.027616800489090553,-0.0003570804752022205,-0.002177605520516859,0.49483540333852255,18.870307544804188,108472,,,,,,,,,,,0.0003412442976019385,8.661803263327577,OFI1_ev50
1,M5_full,ms1000,2026-07-30,0.0005793398391629179,0.027611577949867235,-8.274087427784238e-05,0.008015498534886974,0.5061077463268298,18.870307544804188,108472,,,,,,,,,,,0.00025444882804734136,5.901871749114186,OFI1_ev50
2,M0_constant,ms1000,2026-07-31,1.3070655668911968e-12,0.027611297839427312,-4.261609456257531e-05,,0.5077411013249936,17.72647925228207,109988,,,,,,,,,,,,,
2,M1_ofi,ms1000,2026-07-31,0.0001313320747146074,0.027609484655378776,-1.5835324979285303e-05,0.007060941328878237,0.5018510128079036,17.72647925228207,109988,,,,,,,,,,,0.00031642589899676435,8.186464573403788,OFI1_ev50
2,M1N_ofi_normalized,ms1000,2026-07-31,3.5746599230335185e-05,0.027610804330017728,-2.420938108249615e-05,0.004360631920420128,0.5036854493817065,17.72647925228207,109988,,,,,,,,,,,0.000165083620885199,4.082248784332954,nOFI_L1
2,M2_ofi_spread_depth,ms1000,2026-07-31,0.0004243489863346994,0.027605438804667523,0.00022419357367986503,0.016620689999632288,0.5104264512492955,17.72647925228207,109988,,,,,,,,,,,0.0003080298244601215,8.00860757848025,OFI1_ev50
2,M3_ofi_signedvol,ms1000,2026-07-31,0.00018381270281975226,0.027608760069160722,-2.721128934535244e-05,0.006479320159996198,0.5026024687537988,17.72647925228207,109988,,,,,,,,,,,0.00022890169430498798,5.371503875694639,OFI1_ev50
2,M4_ofi_intensity,ms1000,2026-07-31,0.00019359284851538927,0.02760862503516186,-0.0001382145369612786,0.0032451497669540247,0.49677868517311113,17.72647925228207,109988,,,,,,,,,,,0.0003069253437406358,7.9420780507335165,OFI1_ev50
2,M5_full,ms1000,2026-07-31,0.0005329802440126041,0.027603938720600314,9.582849114198044e-05,0.013456867747630486,0.5079400161342011,17.72647925228207,109988,,,,,,,,,,,0.00022344022272974203,5.277230569957442,OFI1_ev50
3,M0_constant,ms1000,2026-08-03,1.025068918636407e-12,0.02785743078370585,-0.00011467900513051354,-7.965682796780422e-17,0.4927571941746314,22.084916336593647,98968,,,,,,,,,,,,,
3,M1_ofi,ms1000,2026-08-03,7.837069833382948e-05,0.02785633915916493,3.101868003096975e-05,0.012643670236978686,0.4983335710858373,22.084916336593647,98968,,,,,,,,,,,0.00024661399504304375,6.676168542644517,OFI1_ev50
3,M1N_ofi_normalized,ms1000,2026-08-03,3.210374251372272e-05,0.02785698361622455,-8.230081655402621e-05,0.00605707658757347,0.4928609407218166,22.084916336593647,98968,,,,,,,,,,,0.00015784058864973732,4.1608893891687,nOFI_L1
3,M2_ofi_spread_depth,ms1000,2026-08-03,0.0003450175214244622,0.027852624718264857,0.00021326692260048574,0.016649039841801334,0.5196405182140031,22.084916336593647,98968,,,,,,,,,,,0.0002369432336575967,6.441953625069779,OFI1_ev50
3,M3_ofi_signedvol,ms1000,2026-08-03,0.00013477273849227256,0.027855553509335808,0.00010923956820929615,0.015397020144695196,0.49557131926703063,22.084916336593647,98968,,,,,,,,,,,0.00015731395543590687,3.886036157570647,OFI1_ev50
3,M4_ofi_intensity,ms1000,2026-08-03,0.000150484890660052,0.02785533464363149,0.00015558523708680827,0.01751622783030259,0.49742578879796656,22.084916336593647,98968,,,,,,,,,,,0.0002379394216220438,6.447104919972256,OFI1_ev50
3,M5_full,ms1000,2026-08-03,0.00046471333006115056,0.02785095717181201,0.00044624663981840396,0.022720219539262433,0.5190180389308918,22.084916336593647,98968,,,,,,,,,,,0.0001509899092505386,3.7535552186920316,OFI1_ev50
4,M0_constant,ms1000,2026-08-04,1.5266676811620528e-12,0.02782683525025208,-0.00016405519761319987,-6.786752765398312e-17,0.49691120163431074,22.885281160678066,106007,,,,,,,,,,,,,
4,M1_ofi,ms1000,2026-08-04,5.857962688826657e-05,0.027826020195502597,0.0001253863271813982,0.018723024570021004,0.5004464995657333,22.885281160678066,106007,,,,,,,,,,,0.00021297906551441192,5.8792089335289175,OFI1_ev50
4,M1N_ofi_normalized,ms1000,2026-08-04,1.7439060093327186e-05,0.027826592612268213,-6.470708351535848e-05,0.014730198181885456,0.4932168764602982,22.885281160678066,106007,,,,,,,,,,,0.00011620509062075296,3.279830942897057,nOFI_L1
4,M2_ofi_spread_depth,ms1000,2026-08-04,0.00030805305565950736,0.02782254884930288,0.00040830026795968255,0.022884632647351102,0.5198478231617062,22.885281160678066,106007,,,,,,,,,,,0.00020259853869168394,5.610768688455262,OFI1_ev50
4,M3_ofi_signedvol,ms1000,2026-08-04,0.0001401728341744457,0.02782488489872104,0.00025323239400465436,0.021623223106788016,0.502623949502734,22.885281160678066,106007,,,,,,,,,,,0.00010650889745426922,2.691190668749654,OFI1_ev50
4,M4_ofi_intensity,ms1000,2026-08-04,0.00012448046275637115,0.027825103247685844,0.00047576102234725415,0.030503899531296858,0.5015719231286775,22.885281160678066,106007,,,,,,,,,,,0.0002051249540273185,5.661826651490449,OFI1_ev50
4,M5_full,ms1000,2026-08-04,0.0004443075436464383,0.027820652727031714,0.0008519697078226418,0.033335291679456536,0.5240559286579324,22.885281160678066,106007,,,,,,,,,,,9.89810076037892e-05,2.514779422097837,OFI1_ev50
5,M0_constant,ms1000,2026-08-05,2.4175106361212784e-12,0.02753542489276603,-1.7256906285734175e-05,1.1436776640686034e-16,0.49814872129944865,19.078141812919743,107804,,,,,,,,,,,,,
5,M1_ofi,ms1000,2026-08-05,4.497902576194868e-05,0.027534805627508735,7.963915058251114e-05,0.009993095996363305,0.4969336405424304,19.078141812919743,107804,,,,,,,,,,,0.0001846701085743536,5.259104273728141,OFI1_ev50
5,M1N_ofi_normalized,ms1000,2026-08-05,1.6971817473954154e-05,0.027535191228671443,3.471555301515217e-05,0.008607046734480662,0.4976902002590644,19.078141812919743,107804,,,,,,,,,,,0.00011343726803391482,3.206999593723219,nOFI_L1
5,M2_ofi_spread_depth,ms1000,2026-08-05,0.000300711286786548,0.027531284474949187,0.0006634657631060525,0.029681278797258605,0.5171429553973658,19.078141812919743,107804,,,,,,,,,,,0.0001748737929345342,4.99666567014792,OFI1_ev50
5,M3_ofi_signedvol,ms1000,2026-08-05,0.00012909715935638388,0.027533647462831302,0.00022312671668245354,0.017240393354149685,0.49914600456228436,19.078141812919743,107804,,,,,,,,,,,8.049629233231134e-05,2.1006647893763937,OFI1_ev50
5,M4_ofi_intensity,ms1000,2026-08-05,8.667483201518777e-05,0.027534231552743937,4.3956704628755894e-05,0.008127069435574888,0.4948359067826725,19.078141812919743,107804,,,,,,,,,,,0.00017878289804923122,5.083357325357167,OFI1_ev50
5,M5_full,ms1000,2026-08-05,0.00042253594452457133,0.027529606924743374,0.0007826218228322857,0.03200296627662399,0.5196189690154407,19.078141812919743,107804,,,,,,,,,,,7.233150835861902e-05,1.8983424253786427,OFI1_ev50
6,M0_constant,ms1000,2026-08-06,1.3793410857942945e-12,0.02751278470948225,-6.639507556549518e-05,,0.49837898137281106,18.35121775348912,105399,,,,,,,,,,,,,
6,M1_ofi,ms1000,2026-08-06,4.2643726617885847e-05,0.02751219807939399,-7.835843053372038e-05,0.0025684852521641374,0.49325447087395563,18.35121775348912,105399,,,,,,,,,,,0.00017966435501682616,5.142273385530851,OFI1_ev50
6,M1N_ofi_normalized,ms1000,2026-08-06,1.799129462487503e-05,0.027512537213061433,-7.586056671549102e-05,0.001090882890286476,0.4965778495648233,18.35121775348912,105399,,,,,,,,,,,0.00011669857562730193,3.530933509842006,nOFI_L1
6,M2_ofi_spread_depth,ms1000,2026-08-06,0.00029532973806956075,0.02750872173772991,0.0003336419383324074,0.02066632613647927,0.5165413621204551,18.35121775348912,105399,,,,,,,,,,,0.00017034122924992312,4.891106514181678,OFI1_ev50
6,M3_ofi_signedvol,ms1000,2026-08-06,0.00014881432303692765,0.027510737485100495,5.002273885901243e-05,0.011513004919255389,0.49829763993632126,18.35121775348912,105399,,,,,,,,,,,6.277644600589069e-05,1.640481573532899,OFI1_ev50
6,M4_ofi_intensity,ms1000,2026-08-06,9.388354036321545e-05,0.02751149318035095,6.9841545885518386e-06,0.009491824195516217,0.4917438441962885,18.35121775348912,105399,,,,,,,,,,,0.0001729789934841447,4.941593855105671,OFI1_ev50
6,M5_full,ms1000,2026-08-06,0.00044425977079032286,0.02750667261885379,0.0005347519071078333,0.027738816850126094,0.523606446889852,18.35121775348912,105399,,,,,,,,,,,5.5462178395399736e-05,1.456709287999591,OFI1_ev50
7,M0_constant,ms1000,2026-08-07,-1.886935052652916e-12,0.027496473531916255,-1.2498930479498682e-06,1.6035596382351973e-16,0.49823662667970964,23.341358487587325,101348,,,,,,,,,,,,,
7,M1_ofi,ms1000,2026-08-07,4.937312495956192e-05,0.027495794730125322,0.0001396693868395138,0.012454496673724351,0.4993178190804716,23.341358487587325,101348,,,,,,,,,,,0.00019320666542723834,5.5725302273625195,OFI1_ev50
7,M1N_ofi_normalized,ms1000,2026-08-07,2.2212973504687206e-05,0.027496168141001785,4.972156855043153e-05,0.007274980028070064,0.49505740616794525,23.341358487587325,101348,,,,,,,,,,,0.00012959258294471378,3.8920262514923754,nOFI_L1
7,M2_ofi_spread_depth,ms1000,2026-08-07,0.0002966471255690939,0.027492394854493587,0.0008749312013920374,0.03599131799256056,0.5233614786593215,23.341358487587325,101348,,,,,,,,,,,0.0001837756540377043,5.307234241728146,OFI1_ev50
7,M3_ofi_signedvol,ms1000,2026-08-07,0.00013877133712669742,0.027494565604522448,0.00013343261555487373,0.011732740032107787,0.5006564382433197,23.341358487587325,101348,,,,,,,,,,,8.812455679889662e-05,2.299873443728476,OFI1_ev50
7,M4_ofi_intensity,ms1000,2026-08-07,0.00011328785978526046,0.027494915979482493,9.660523652699204e-05,0.009859822373403505,0.4983395973845441,23.341358487587325,101348,,,,,,,,,,,0.00018579576348089745,5.340619491367407,OFI1_ev50
7,M5_full,ms1000,2026-08-07,0.000442836599974461,0.02749038463532018,0.0008127346067179353,0.03223800526339945,0.5298486330638933,23.341358487587325,101348,,,,,,,,,,,8.097017678429042e-05,2.1209509787831307,OFI1_ev50
