fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
1,2026-07-30,passive_sell,0.7,0.0,1450,0.000248927982292047,0.003068965517241391,-0.00960689655172402,4.450000000000017
1,2026-07-30,passive_sell,0.7,0.25,921,0.000248927982292047,0.004207383279044254,-0.008621064060803625,3.8749999999997584
1,2026-07-30,passive_sell,0.7,0.5,568,0.000248927982292047,0.0026144366197179336,-0.01044014084507061,1.4849999999997863
1,2026-07-30,passive_sell,0.7,1.0,148,0.000248927982292047,0.005709459459458972,-0.007905405405405897,0.8449999999999278
1,2026-07-30,passive_sell,0.9,0.0,451,0.0006444296257327294,0.0037250554323722688,-0.009113082039911511,1.6799999999998931
1,2026-07-30,passive_sell,0.9,0.25,293,0.0006444296257327294,0.004266211604094933,-0.008737201365188279,1.2499999999998153
1,2026-07-30,passive_sell,0.9,0.5,189,0.0006444296257327294,0.0016931216931209052,-0.011798941798942421,0.31999999999985107
1,2026-07-30,passive_sell,0.9,1.0,55,0.0006444296257327294,0.007545454545453884,-0.0067272727272730684,0.4149999999999636
2,2026-07-31,passive_buy,0.0,0.0,10267,-inf,0.003219538326677706,-0.010216226745884856,33.05500000000001
2,2026-07-31,passive_buy,0.0,0.25,3901,-inf,0.00046270187131502733,-0.013455524224557806,1.8049999999999216
2,2026-07-31,passive_buy,0.0,0.5,2374,-inf,0.0005117944397640707,-0.013323504633529899,1.214999999999904
2,2026-07-31,passive_buy,0.0,1.0,684,-inf,0.0012646198830409906,-0.011988304093567338,0.8650000000000375
2,2026-07-31,passive_buy,0.3,0.0,6862,-0.00024887119045233783,0.0027870883124453075,-0.010118041387350625,19.1249999999997
2,2026-07-31,passive_buy,0.3,0.25,2624,-0.00024887119045233783,0.0005583079268292154,-0.012827743902439001,1.4649999999998613
2,2026-07-31,passive_buy,0.3,0.5,1611,-0.00024887119045233783,0.0008069522036002112,-0.012557417752948372,1.2999999999999403
2,2026-07-31,passive_buy,0.3,1.0,455,-0.00024887119045233783,0.0006923076923078123,-0.01193406593406587,0.31500000000005457
2,2026-07-31,passive_buy,0.5,0.0,5176,-4.070215200725618e-05,0.0033626352395671895,-0.00935278207109737,17.404999999999774
2,2026-07-31,passive_buy,0.5,0.25,2011,-4.070215200725618e-05,0.0014172053704623406,-0.011720537046245667,2.849999999999767
2,2026-07-31,passive_buy,0.5,0.5,1257,-4.070215200725618e-05,0.0018456642800317824,-0.011352426412092116,2.3199999999999505
2,2026-07-31,passive_buy,0.5,1.0,338,-4.070215200725618e-05,0.0011390532544381792,-0.010946745562129807,0.3850000000001046
2,2026-07-31,passive_buy,0.7,0.0,3527,0.0001522447897470864,0.004353558264814186,-0.008120215480578471,15.354999999999634
