fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout,n_unwind_1000,mean_unwind_1000,frac_passive_exit_1000,n_unwind_5000,mean_unwind_5000,frac_passive_exit_5000
1,2026-07-30,passive_buy,0.5,0.5,8130,-2.981037511537607e-05,-0.003931734317343163,-0.015162361623616217,-31.964999999999918,8130,-0.011387453874538794,0.5381303813038131,8130,-0.008977859778597807,0.933210332103321
1,2026-07-30,passive_buy,0.5,1.0,1820,-2.981037511537607e-05,-0.0018571428571425657,-0.012604395604395354,-3.3799999999994697,1820,-0.011241758241758004,0.20824175824175825,1820,-0.009214285714285455,0.628021978021978
1,2026-07-30,passive_buy,0.7,0.0,8338,0.00017313144897891457,-0.0023980570880307987,-0.013420484528664017,-19.9950000000008,8338,-0.00779443511633477,0.6863756296473975,8338,-0.006054209642600058,0.976852962341089
1,2026-07-30,passive_buy,0.7,0.25,6974,0.00017313144897891457,-0.0033416977344423514,-0.014407800401491349,-23.30500000000096,6974,-0.00967593920275307,0.6236019501003728,6974,-0.00775738457126467,0.9604244336105535
1,2026-07-30,passive_buy,0.7,0.5,5704,0.00017313144897891457,-0.00365182328190752,-0.014717741935483919,-20.830000000000496,5704,-0.01095371669004212,0.5387447405329593,5704,-0.008550140252454437,0.9293478260869565
1,2026-07-30,passive_buy,0.7,1.0,1245,0.00017313144897891457,-0.0011646586345378353,-0.011823293172690482,-1.449999999999605,1245,-0.01012048192771061,0.20401606425702812,1245,-0.008096385542168365,0.636144578313253
1,2026-07-30,passive_buy,0.9,0.0,3905,0.00047369002998584586,-0.0025953905249680165,-0.013546734955185684,-10.135000000000105,3905,-0.007708066581305984,0.6901408450704225,3905,-0.005810499359795021,0.9769526248399488
1,2026-07-30,passive_buy,0.9,0.25,3249,0.00047369002998584586,-0.0033594952293014434,-0.014373653431825277,-10.91500000000039,3249,-0.009341335795629409,0.6340412434595261,3249,-0.007374576792859335,0.9606032625423208
1,2026-07-30,passive_buy,0.9,0.5,2661,0.00047369002998584586,-0.0035963923337092364,-0.014577226606538964,-9.570000000000277,2661,-0.010537391957910642,0.5527996993611425,2661,-0.007745208568207467,0.9349868470499813
1,2026-07-30,passive_buy,0.9,1.0,558,0.00047369002998584586,0.0002508960573478495,-0.01053763440860199,0.14000000000010004,558,-0.008799283154121679,0.24014336917562723,558,-0.004946236559139489,0.6469534050179212
1,2026-07-30,passive_sell,0.0,0.0,24202,-inf,-0.0035517725807784318,-0.015630113213783988,-85.95999999999961,24202,-0.009854970663581493,0.6195355755722668,24202,-0.007114701264358292,0.9665730104950004
1,2026-07-30,passive_sell,0.0,0.25,20540,-inf,-0.0040946932814021585,-0.0162059396299903,-84.10500000000033,20540,-0.011435248296007788,0.5367575462512172,20540,-0.00853213242453747,0.9374878286270691
1,2026-07-30,passive_sell,0.0,0.5,16395,-inf,-0.004158584934431245,-0.016292162244586825,-68.18000000000026,16395,-0.012428789265019856,0.4592863677950595,16395,-0.00934248246416588,0.905154010369015
1,2026-07-30,passive_sell,0.0,1.0,4033,-inf,-0.004173072154723541,-0.015618646169104933,-16.83000000000004,4033,-0.013454004463178763,0.1572030746342673,4033,-0.011009174311926497,0.5365732705182247
1,2026-07-30,passive_sell,0.3,0.0,12743,-0.00017313144897891465,-0.00372165110256612,-0.016418425802401337,-47.42500000000007,12743,-0.010114572706584005,0.6146119438122891,12743,-0.0072274974495801616,0.9691595385701954
1,2026-07-30,passive_sell,0.3,0.25,10924,-0.00017313144897891465,-0.0044347308678140416,-0.017178689124862763,-48.44500000000059,10924,-0.011731966312705986,0.5258147198828268,10924,-0.008823690955693865,0.9382094470889784
1,2026-07-30,passive_sell,0.3,0.5,8773,-0.00017313144897891465,-0.004609027698620791,-0.01740111706371826,-40.4350000000002,8773,-0.012861050951783904,0.4448877236977089,8773,-0.010014818192180478,0.9040237091074889
1,2026-07-30,passive_sell,0.3,1.0,1859,-0.00017313144897891465,-0.00469876277568586,-0.016998386229155508,-8.735000000000014,1859,-0.014378698224852073,0.15169445938676707,1859,-0.012942442173211237,0.5266272189349113
1,2026-07-30,passive_sell,0.5,0.0,8550,2.981037511537607e-05,-0.0034695906432748946,-0.016560233918128688,-29.665000000000347,8550,-0.010100584795321648,0.6201169590643275,8550,-0.0069403508771930114,0.971812865497076
1,2026-07-30,passive_sell,0.5,0.25,7316,2.981037511537607e-05,-0.004146391470749094,-0.017293603061782438,-30.335000000000377,7316,-0.011610169491525454,0.534991798797157,7316,-0.008059048660470176,0.9450519409513395
1,2026-07-30,passive_sell,0.5,0.5,5888,2.981037511537607e-05,-0.004307065217391292,-0.017518682065217377,-25.35999999999993,5888,-0.012686820652173908,0.4546535326086957,5888,-0.009300271739130334,0.9120244565217391
1,2026-07-30,passive_sell,0.5,1.0,1137,2.981037511537607e-05,-0.004274406332453925,-0.01715039577836424,-4.860000000000113,1137,-0.014538258575197928,0.158311345646438,1137,-0.01333333333333328,0.5312225153913809
1,2026-07-30,passive_sell,0.7,0.0,4837,0.000248927982292047,-0.003211701467851865,-0.016735579904899617,-15.53499999999947,4837,-0.010430018606574321,0.6235269795327683,4837,-0.007446764523464998,0.9725036179450073
1,2026-07-30,passive_sell,0.7,0.25,4143,0.000248927982292047,-0.0036821144098478733,-0.01727492155442909,-15.25499999999974,4143,-0.011918899348298326,0.5348781076514603,4143,-0.008551774076755956,0.946415640839971
1,2026-07-30,passive_sell,0.7,0.5,3367,0.000248927982292047,-0.0038446688446687285,-0.0175408375408374,-12.94499999999961,3367,-0.013130383130383049,0.4621324621324621,3367,-0.01039501039501026,0.9162459162459162
1,2026-07-30,passive_sell,0.7,1.0,597,0.000248927982292047,-0.003467336683417026,-0.016616415410385166,-2.0699999999999648,597,-0.014790619765494135,0.16415410385259632,597,-0.013299832495812392,0.5644891122278057
1,2026-07-30,passive_sell,0.9,0.0,1446,0.0006444296257327294,-0.0038381742738589388,-0.017766251728907383,-5.550000000000026,1446,-0.01152143845089895,0.6473029045643154,1446,-0.008354080221300028,0.979253112033195
1,2026-07-30,passive_sell,0.9,0.25,1240,0.0006444296257327294,-0.0037661290322581918,-0.01775000000000007,-4.670000000000158,1240,-0.012209677419354678,0.5741935483870968,1240,-0.009080645161290224,0.967741935483871
1,2026-07-30,passive_sell,0.9,0.5,1018,0.0006444296257327294,-0.0037524557956778765,-0.01798624754420429,-3.8200000000000784,1018,-0.013752455795677562,0.5019646365422397,1018,-0.010982318271119668,0.9361493123772102
1,2026-07-30,passive_sell,0.9,1.0,185,0.0006444296257327294,-0.00024324324324363653,-0.013999999999999789,-0.04500000000007276,185,-0.01351351351351336,0.1945945945945946,185,-0.008864864864865098,0.5945945945945946
2,2026-07-31,passive_buy,0.0,0.0,22671,-inf,-0.0024939349830179966,-0.016257333156896557,-56.540000000001,22671,-0.007185391028185713,0.6454060253186891,22671,-0.003941599400114588,0.9526708129328216
2,2026-07-31,passive_buy,0.0,0.25,16073,-inf,-0.0048662353014372545,-0.01881229390904011,-78.215000000001,16073,-0.011015367386299947,0.5893112673427487,16073,-0.00752317551172764,0.9241585267218316
