unwind_1000ms_ticks,unwind_1000ms_se_ticks,unwind_1000ms_t,unwind_1000ms_passive_exit_frac,unwind_5000ms_ticks,unwind_5000ms_se_ticks,unwind_5000ms_t,unwind_5000ms_passive_exit_frac,horizon,model,gate_quantile,queue_ahead_fraction,maker_rebate_per_unit,n_fills,n_days,fills_per_day,markout_ticks,markout_after_crossing_out_ticks,se_ticks,t_stat,below_min_fills,breakeven_rebate_per_unit,breakeven_rebate_ticks
-1.2608102823198641,0.06441330408819125,-19.573755766256458,0.4609762284772062,-0.9305673740123133,0.06799788024311551,-13.685240932294048,0.8750138738405433,ms1000,M5_full,0.0,0.5,0.0,189218,8,23652.25,-0.4235775666162833,-1.7300996733925975,0.034643091092827746,-12.226898733755826,False,0.004235775666162833,0.4235775666162833
-1.1147126594721437,0.06616514360112556,-16.847430517073356,0.4609762284772062,-0.7430659866282592,0.06923273820151318,-10.73287011219236,0.8750138738405433,ms1000,M5_full,0.0,0.5,0.001,189218,8,23652.25,-0.3235775666162833,-1.6300996733925974,0.034643091092827746,-9.340320289238694,False,0.004235775666162833,0.4235775666162833
-0.968615036624423,0.06794101477517671,-14.256705464727935,0.4609762284772062,-0.5555645992442048,0.07048022658269523,-7.882559778555119,0.8750138738405433,ms1000,M5_full,0.0,0.5,0.002,189218,8,23652.25,-0.22357756661628328,-1.5300996733925973,0.034643091092827746,-6.453741844721563,False,0.004235775666162833,0.4235775666162833
-0.895566225200563,0.06883738199854554,-13.009882119274746,0.4609762284772062,-0.46181390555217766,0.07110849971267454,-6.494496542863538,0.8750138738405433,ms1000,M5_full,0.0,0.5,0.0025,189218,8,23652.25,-0.1735775666162833,-1.4800996733925973,0.034643091092827746,-5.0104526224629975,False,0.004235775666162833,0.4235775666162833
-0.8225174137767025,0.06973908177146758,-11.794210547137142,0.4609762284772062,-0.3680632118601505,0.07173968649473923,-5.130538337202534,0.8750138738405433,ms1000,M5_full,0.0,0.5,0.003,189218,8,23652.25,-0.12357756661628329,-1.4300996733925975,0.034643091092827746,-3.5671634002044317,False,0.004235775666162833,0.4235775666162833
-1.324488467934347,0.05852854398289532,-22.629786729726643,0.1642686718241631,-1.072055349308127,0.08719796045414506,-12.294500281023094,0.4934429391061183,ms1000,M5_full,0.0,1.0,0.0,41493,8,5186.625,-0.2893741112958759,-1.496204179018146,0.04165991487271879,-6.946104239050523,False,0.0028937411129587596,0.2893741112958759
-1.2080616007519305,0.0595440810728615,-20.28852539135969,0.1642686718241631,-0.9227110553975154,0.08921012917429763,-10.34311982213067,0.4934429391061183,ms1000,M5_full,0.0,1.0,0.001,41493,8,5186.625,-0.18937411129587595,-1.3962041790181459,0.04165991487271879,-4.5457152726898284,False,0.0028937411129587596,0.2893741112958759
-1.0916347335695142,0.06057243355682032,-18.021972528897983,0.1642686718241631,-0.7733667614869036,0.09125762979824457,-8.474543588264224,0.4934429391061183,ms1000,M5_full,0.0,1.0,0.002,41493,8,5186.625,-0.08937411129587595,-1.2962041790181458,0.04165991487271879,-2.145326306329134,False,0.0028937411129587596,0.2893741112958759
-1.0334212999783061,0.06109121364718631,-16.916038138422262,0.1642686718241631,-0.6986946145315976,0.09229389632787283,-7.570323091025375,0.4934429391061183,ms1000,M5_full,0.0,1.0,0.0025,41493,8,5186.625,-0.03937411129587595,-1.2462041790181457,0.04165991487271879,-0.9451318231487863,False,0.0028937411129587596,0.2893741112958759
-0.975207866387098,0.06161295975125238,-15.827966556456092,0.1642686718241631,-0.6240224675762918,0.09333813719299526,-6.685610901854625,0.4934429391061183,ms1000,M5_full,0.0,1.0,0.003,41493,8,5186.625,0.01062588870412405,-1.1962041790181457,0.04165991487271879,0.25506266003156114,False,0.0028937411129587596,0.2893741112958759
-0.8528546110513325,0.05393730366509263,-15.811962280259229,0.6125862396354199,-0.536487206401281,0.05295465402441971,-10.131068105059912,0.9555929467737767,ms1000,M5_full,0.3,0.0,0.0,189588,8,23698.5,-0.23907103825136755,-1.5438213389033106,0.027660417328556668,-8.643074159425288,False,0.0023907103825136756,0.23907103825136755
-0.6915959870877904,0.05519053151490029,-12.531062269278452,0.6125862396354199,-0.34092791172390335,0.05324798521245622,-6.402644351023269,0.9555929467737767,ms1000,M5_full,0.3,0.0,0.001,189588,8,23698.5,-0.13907103825136755,-1.4438213389033105,0.027660417328556668,-5.027799711025703,False,0.0023907103825136756,0.23907103825136755
-0.5303373631242484,0.056490035952698664,-9.388157649046654,0.6125862396354199,-0.14536861704652568,0.053551589142179216,-2.714552814867411,0.9555929467737767,ms1000,M5_full,0.3,0.0,0.002,189588,8,23698.5,-0.039071038251367554,-1.3438213389033107,0.027660417328556668,-1.4125252626261187,False,0.0023907103825136756,0.23907103825136755
-0.44970805114247747,0.05715615990432161,-7.868059223980069,0.6125862396354199,-0.04758896970783682,0.05370718917364546,-0.8860819275790568,0.9555929467737767,ms1000,M5_full,0.3,0.0,0.0025,189588,8,23698.5,0.010928961748632449,-1.2938213389033106,0.027660417328556668,0.3951119615736733,False,0.0023907103825136756,0.23907103825136755
-0.3690787391607065,0.05783269754888124,-6.381835100269263,0.6125862396354199,0.05019067763085201,0.05386529211139976,0.9317814062356107,0.9555929467737767,ms1000,M5_full,0.3,0.0,0.003,189588,8,23698.5,0.06092896174863245,-1.2438213389033108,0.027660417328556668,2.2027491857734653,False,0.0023907103825136756,0.23907103825136755
