feature,target,n,pearson,spearman,slope,slope_se_hac,t_stat_hac,p_value_hac,hac_lag,directional_accuracy,pct_target_unchanged,cond_mean_pos,cond_mean_neg,cond_mean_se_pos,cond_mean_se_neg,ci95_slope_low,ci95_slope_high,p_value_fdr
OFI1_ref,ev10,2158684,0.006371541721480929,0.008328670077544332,6.584576763709238e-08,8.510165321130715e-09,7.737307696431882,1.0154410269409928e-14,36,0.505954442886881,42.519933440929755,7.3363880772349e-05,-4.038705743958227e-05,6.078616385837942e-06,6.085168602495148e-06,4.916615010519444e-08,8.252538516899033e-08,2.140659462199931e-14
OFI1_ref,ev25,2158677,0.01270926919503753,0.01897731499380114,2.08278153924094e-07,1.629242582547281e-08,12.783741117204057,2.0210886896239526e-37,36,0.5107786857276712,24.32262909180021,0.00017822682926151175,-0.0001805127744768615,9.638816865240658e-06,9.645383810559965e-06,1.7634558608537705e-07,2.4021072176281095e-07,6.305796711626732e-37
OFI1_ref,ev50,2158662,0.012985902955526301,0.019796365865341253,3.032845449381157e-07,2.597944446623098e-08,11.674019640117244,1.7304919059201636e-31,36,0.5102354240679579,15.073642839870253,0.00026434495332607934,-0.0002922320201236254,1.3742350586569302e-05,1.3737045955828382e-05,2.5236576944594456e-07,3.542033204302868e-07,4.65442650557837e-31
OFI12w_ref,ms100,1446981,0.025055931218380383,0.011232319259751733,2.657040308270148e-07,4.535886513787283e-08,5.85781919409537,4.689848304012853e-09,33,0.5038635536948906,49.971837916323715,0.000342884938290606,-0.0003991083527109097,1.3308859097754173e-05,1.3313798419541394e-05,1.7680228877717463e-07,3.54605772876855e-07,7.31616335426005e-09
OFI12w_ref,ms250,1864457,0.018048170685716416,0.003815942387356491,2.573854104315855e-07,4.583144092094993e-08,5.6159135575842765,1.9552639856315843e-08,35,0.49836840209353084,39.176178372577105,0.00035470657562674927,-0.0003970048219384139,1.5653215645963174e-05,1.5669536479624385e-05,1.675574368669484e-07,3.472133839962226e-07,2.877558318476671e-08
OFI12w_ref,ms500,2067545,0.010723708550593373,-0.0003660784788126171,2.0292999409944782e-07,2.9595562452792148e-08,6.856770991365386,7.043440442636816e-12,36,0.4962947653532686,28.77069181081911,0.00028520314653810775,-0.0003501016998047809,1.9505565507006058e-05,1.9561458731010597e-05,1.4492375758976932e-07,2.609362306091263e-07,1.277647336106213e-11
OFI12w_ref,ms1000,2144991,0.006153627827080497,-0.00087149665280544,1.5878976969353042e-07,2.681431196042843e-08,5.921828981771619,3.1838062604800202e-09,36,0.49650837308020734,18.60543937014188,0.00024432949036162836,-0.00032062753099187013,2.604828428052288e-05,2.6098596919575617e-05,1.0623468398086909e-07,2.1134485540619176e-07,5.068099761580441e-09
OFI12w_ref,ms2000,2157802,0.003739567916141423,0.0005762100274919545,1.3438207786205516e-07,3.642017188565944e-08,3.6897705558322347,0.00022445640158464083,36,0.49789643548921103,11.003187502838536,0.00021634116486997224,-0.0003456587811812782,3.615133119865116e-05,3.618175720317936e-05,6.299985265540444e-08,2.057643030687059e-07,0.00030185516075175833
OFI12w_ref,ms5000,2158188,-2.289419024150108e-05,-0.00031233451758198063,-1.281346983702674e-09,5.8474687857555745e-08,-0.021912848629889795,0.9825174755120455,36,0.4988911258611469,5.612161683782877,2.608129469465077e-05,-0.0003217402831885764,5.6293697550469803e-05,5.6335201979014035e-05,-1.1588962919173355e-07,1.133269352243282e-07,0.9825174755120455
OFI12w_ref,ms10000,2157691,-0.0015675014907374316,-0.0024392205508142655,-1.2297081306567365e-07,7.41925856270918e-08,-1.6574542055152506,0.09742768011451654,36,0.49840820112512496,3.6958952880648805,-0.00021550686361964356,-0.0003590340970104925,7.879856131305314e-05,7.908130168770745e-05,-2.6838560881467765e-07,2.2443982683330357e-08,0.11013563839032305
