horizon,bucket_on,ofi_decile,n_fills,mean_bucket_value,mean_prev_ofi,frac_passive_buys,markout_ticks,se_ticks,markout_after_crossing_out_ticks,pct_positive,decile_monotonicity_spearman
ms10000,prev_ofi,2,5967,-305.6123962402344,-305.6123962402344,0.5106276150627616,0.1292106586224156,0.11680150757639614,-1.2120830979724593,50.14225941422594,-0.34545454545454546
ms10000,prev_ofi,3,5935,-165.63844299316406,-165.63844299316406,0.5010940919037199,-0.002274641954510599,0.092757235059573,-1.3278853996728268,49.28463221679852,-0.34545454545454546
ms10000,prev_ofi,4,5950,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.03411764705882856,0.11756357983047493,-1.3710083772987176,48.94259818731118,-0.34545454545454546
ms10000,prev_ofi,5,5976,51.205013275146484,51.205013275146484,0.5047619047619047,-0.04417670682730401,0.08317606947735336,-1.379936386184036,48.721804511278194,-0.34545454545454546
ms10000,prev_ofi,6,5956,167.86996459960938,167.86996459960938,0.487751677852349,-0.16722632639355905,0.13270841027662827,-1.5205674688416284,47.36577181208054,-0.34545454545454546
ms10000,prev_ofi,7,5964,310.0291442871094,310.0291442871094,0.5020934516831351,-0.08727364185109207,0.11608430762146932,-1.4231220395232285,48.41735052754982,-0.34545454545454546
ms10000,prev_ofi,8,5930,510.7890930175781,510.7890930175781,0.5054704595185996,-0.06315345699829289,0.1099587059542088,-1.4165261122858035,48.274701228749365,-0.34545454545454546
ms10000,prev_ofi,9,5943,1082.0125732421875,1082.0125732421875,0.5077207116482041,0.30809355544338524,0.09579767059312,-1.0080767039096081,50.03356831151393,-0.34545454545454546
ms30000,prev_ofi,0,5936,-1081.1314697265625,-1081.1314697265625,0.4804282368685179,0.1327493261455496,0.2115957166974021,-1.1683793548466994,49.04650384744061,0.21212121212121213
ms30000,prev_ofi,1,5952,-510.3719787597656,-510.3719787597656,0.4964040809499916,0.00638440860214091,0.1895902329742203,-1.3289650282503442,50.02508780732564,0.21212121212121213
ms30000,prev_ofi,2,5959,-305.6123962402344,-305.6123962402344,0.5106276150627616,0.16722604463836077,0.20699374866178216,-1.1748615280643961,49.80753138075314,0.21212121212121213
ms30000,prev_ofi,3,5928,-165.63844299316406,-165.63844299316406,0.5010940919037199,0.06654858299596497,0.1613507304734562,-1.2594466678837024,49.23413566739606,0.21212121212121213
ms30000,prev_ofi,4,5937,-52.98590087890625,-52.98590087890625,0.495636119503189,-0.10198753579248934,0.15427137487935358,-1.4400370296718954,49.19436052366566,0.21212121212121213
ms30000,prev_ofi,5,5968,51.205013275146484,51.205013275146484,0.5047619047619047,0.023793565683653758,0.15672396098166122,-1.3126675341791338,49.49039264828738,0.21212121212121213
ms30000,prev_ofi,6,5942,167.86996459960938,167.86996459960938,0.487751677852349,-0.11553349040727448,0.15185258759877457,-1.4699595834231105,48.99328859060403,0.21212121212121213
ms30000,prev_ofi,7,5952,310.0291442871094,310.0291442871094,0.5020934516831351,0.02016129032258857,0.20246321782683716,-1.3168682533463945,48.685312342991125,0.21212121212121213
ms30000,prev_ofi,8,5923,510.7890930175781,510.7890930175781,0.5054704595185996,0.2246327874388148,0.19865397617079356,-1.1291574955278236,49.78959771082309,0.21212121212121213
ms30000,prev_ofi,9,5914,1082.0125732421875,1082.0125732421875,0.5077207116482041,0.19800473452821898,0.24491389456416116,-1.1204768095844724,50.62101376300772,0.21212121212121213
