fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover,bt_rows_total,bt_rows_predictable,bt_blocked_overlap,bt_pass_cost_gate,bt_pass_z_gate,bt_signals,bt_drop_no_execution,bt_drop_no_exit,bt_drop_no_depth,bt_longs,bt_shorts,bt_mean_abs_prediction,bt_max_abs_prediction,bt_mean_cost_threshold,bt_mean_pred_over_cost,bt_time_in_market_frac,bt_net_per_trade,bt_net_per_trade_ticks,bt_net_per_trade_bps,bt_gross_per_trade,bt_gross_per_trade_ticks,bt_cost_per_trade,bt_cost_per_trade_ticks,beta_1,beta_1_t,beta_1_name
3,M1N_ofi_normalized,ms1000,2026-08-03,3.210374251372272e-05,0.02785698361622455,-8.230081655402621e-05,0.00605707658757347,0.4928609407218166,22.084916336593647,98968,1.5,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,2,0,0,0,0,0,0,0,9.810879645427299e-05,0.012379157932407472,0.022094884750195904,0.004440339814553824,0.0,,,,,,,,0.00015784058864973732,4.1608893891687,nOFI_L1
3,M2_ofi_spread_depth,ms1000,2026-08-03,0.0003450175214244622,0.027852624718264857,0.00021326692260048574,0.016649039841801334,0.5196405182140031,22.084916336593647,98968,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,25,0,0,0,0,0,0,0,0.0002576274482085521,0.022838045327505285,0.022094884750195904,0.011660049424166733,0.0,,,,,,,,0.0002369432336575967,6.441953625069779,OFI1_ev50
3,M3_ofi_signedvol,ms1000,2026-08-03,0.00013477273849227256,0.027855553509335808,0.00010923956820929615,0.015397020144695196,0.49557131926703063,22.084916336593647,98968,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,0,0,0,0,0,0,0,0,0.00018437112731537256,0.013299081283483003,0.022094884750195904,0.008344516362038857,0.0,,,,,,,,0.00015731395543590687,3.886036157570647,OFI1_ev50
3,M4_ofi_intensity,ms1000,2026-08-03,0.000150484890660052,0.02785533464363149,0.00015558523708680827,0.01751622783030259,0.49742578879796656,22.084916336593647,98968,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,0,0,0,0,0,0,0,0,0.0002350796589942023,0.010492536118825615,0.022094884750195904,0.01063955126501024,0.0,,,,,,,,0.0002379394216220438,6.447104919972256,OFI1_ev50
3,M5_full,ms1000,2026-08-03,0.00046471333006115056,0.02785095717181201,0.00044624663981840396,0.022720219539262433,0.5190180389308918,22.084916336593647,98968,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,100669,100669,0,25,0,0,0,0,0,0,0,0.0002959683221494945,0.023082726269362017,0.022094884750195904,0.013395332245255106,0.0,,,,,,,,0.0001509899092505386,3.7535552186920316,OFI1_ev50
4,M0_constant,ms1000,2026-08-04,1.5266676811620528e-12,0.02782683525025208,-0.00016405519761319987,-6.786752765398312e-17,0.49691120163431074,22.885281160678066,106007,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106722,106722,0,0,0,0,0,0,0,0,0,5.0441977900635563e-05,5.044197790064188e-05,0.02055995908083813,0.002453408477239989,0.0,,,,,,,,,,
4,M1_ofi,ms1000,2026-08-04,5.857962688826657e-05,0.027826020195502597,0.0001253863271813982,0.018723024570021004,0.5004464995657333,22.885281160678066,106007,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106722,106722,0,0,0,0,0,0,0,0,0,0.00018228429079459436,0.010028533132413003,0.02055995908083813,0.008865985096462727,0.0,,,,,,,,0.00021297906551441192,5.8792089335289175,OFI1_ev50
4,M1N_ofi_normalized,ms1000,2026-08-04,1.7439060093327186e-05,0.027826592612268213,-6.470708351535848e-05,0.014730198181885456,0.4932168764602982,22.885281160678066,106007,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,106722,106722,0,0,0,0,0,0,0,0,0,6.507979040009899e-05,0.00688257425026421,0.02055995908083813,0.003165365755068711,0.0,,,,,,,,0.00011620509062075296,3.279830942897057,nOFI_L1
4,M2_ofi_spread_depth,ms1000,2026-08-04,0.00030805305565950736,0.02782254884930288,0.00040830026795968255,0.022884632647351102,0.5198478231617062,22.885281160678066,106007,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,106722,106722,0,3,0,0,0,0,0,0,0,0.00025092752209297304,0.023005201932464154,0.02055995908083813,0.012204670306315802,0.0,,,,,,,,0.00020259853869168394,5.610768688455262,OFI1_ev50
4,M3_ofi_signedvol,ms1000,2026-08-04,0.0001401728341744457,0.02782488489872104,0.00025323239400465436,0.021623223106788016,0.502623949502734,22.885281160678066,106007,0.5,1,0.060000000000002274,0.04000000000000625,0.01999999999999602,1.0,0.04000000000000625,,0.0,99.05,106722,106716,6,4,2,1,0,0,0,1,0,0.00016730629206590972,0.040028457196795326,0.02055961573736631,0.008137617657991389,5.081121065549088e-05,0.04000000000000625,4.000000000000625,4.038364462393362,0.060000000000002274,6.000000000000227,0.01999999999999602,1.999999999999602,0.00010650889745426922,2.691190668749654,OFI1_ev50
